               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.040438,             0.01559,              0.0146,                0.58,             0.44537,             0.55099,             0.29402,            0.035013,            0.017265,            0.017908,            0.006436,            0.006436,            0.006436
                  38,            0.036207,             0.01581,            0.011552,             0.66946,             0.65731,              0.7199,             0.16915,            0.041882,            0.018108,           0.0089172,            0.006337,            0.006337,            0.006337
                  39,            0.033412,            0.014202,            0.012114,             0.78782,             0.87331,             0.86377,             0.52443,            0.021567,            0.011175,            0.016705,            0.006238,            0.006238,            0.006238
                  40,            0.036674,            0.014446,            0.012134,             0.90656,             0.58611,             0.67968,             0.28771,            0.038018,            0.018215,            0.037134,            0.006139,            0.006139,            0.006139
                  41,            0.029767,            0.014754,           0.0088411,             0.71805,              0.6875,             0.58955,             0.37356,            0.026081,            0.013241,            0.030603,             0.00604,             0.00604,             0.00604
                  42,            0.036618,              0.0143,            0.011197,             0.76931,             0.80699,              0.7493,             0.39255,            0.030655,            0.014175,            0.013989,            0.005941,            0.005941,            0.005941
                  43,            0.032383,            0.013896,             0.01214,              0.8394,              0.9375,             0.83653,              0.4814,             0.02501,            0.013973,           0.0096741,            0.005842,            0.005842,            0.005842
                  44,            0.032308,            0.014552,           0.0091952,             0.86963,             0.88136,             0.88313,             0.56442,            0.029523,            0.010309,            0.001853,            0.005743,            0.005743,            0.005743
                  45,            0.035868,            0.014473,             0.01129,             0.97895,             0.99444,               0.995,             0.68617,            0.017695,            0.010838,           0.0011709,            0.005644,            0.005644,            0.005644
                  46,            0.035352,            0.014303,           0.0092367,             0.98879,                   1,               0.995,             0.37519,            0.033091,           0.0085602,           0.0010979,            0.005545,            0.005545,            0.005545
                  47,            0.035847,            0.013972,            0.011084,             0.98394,             0.99842,               0.995,             0.64978,             0.02136,            0.010223,           0.0010231,            0.005446,            0.005446,            0.005446
                  48,            0.030531,            0.013904,           0.0098367,             0.98961,             0.99026,               0.995,              0.6145,            0.020492,            0.011118,            0.000455,            0.005347,            0.005347,            0.005347
                  49,            0.033871,            0.013652,             0.01099,             0.97691,             0.75233,               0.995,             0.57624,            0.025459,            0.009161,           0.0076721,            0.005248,            0.005248,            0.005248
                  50,            0.034338,            0.014007,            0.010458,             0.86997,              0.9375,             0.90986,             0.48379,            0.029379,           0.0081024,          0.00051117,            0.005149,            0.005149,            0.005149
                  51,            0.036156,            0.014125,            0.011099,             0.94708,             0.98384,               0.995,             0.50544,            0.029644,           0.0082722,          0.00044956,             0.00505,             0.00505,             0.00505
                  52,            0.036024,            0.013054,            0.012567,             0.98643,                   1,               0.995,              0.6545,            0.020655,           0.0085449,          0.00042849,            0.004951,            0.004951,            0.004951
                  53,            0.037011,            0.013448,            0.009672,             0.97222,             0.99319,               0.995,             0.62463,            0.021348,           0.0080795,          0.00048847,            0.004852,            0.004852,            0.004852
                  54,            0.034206,            0.013455,            0.014441,             0.98968,                   1,               0.995,             0.67792,            0.017733,            0.010241,          0.00047779,            0.004753,            0.004753,            0.004753
                  55,            0.031102,            0.013201,           0.0096734,             0.92349,              0.9375,             0.92315,              0.4919,            0.026999,            0.011551,          0.00035806,            0.004654,            0.004654,            0.004654
                  56,            0.030062,            0.013046,           0.0094159,             0.98998,                   1,               0.995,             0.60808,            0.020751,           0.0093288,          0.00029635,            0.004555,            0.004555,            0.004555
                  57,            0.032764,            0.013279,            0.009814,             0.98626,                   1,               0.995,             0.49101,            0.028855,            0.010132,          0.00031915,            0.004456,            0.004456,            0.004456
                  58,            0.030585,            0.012144,           0.0088153,             0.98658,                   1,               0.995,             0.61258,             0.02265,            0.011774,           0.0005003,            0.004357,            0.004357,            0.004357
                  59,            0.031301,            0.012479,            0.010206,             0.98776,                   1,               0.995,             0.49223,            0.026836,            0.010479,          0.00064449,            0.004258,            0.004258,            0.004258
                  60,            0.029338,            0.012967,            0.010527,             0.85344,              0.9375,             0.89833,             0.57606,            0.016119,           0.0096016,            0.012262,            0.004159,            0.004159,            0.004159
                  61,            0.029259,            0.012479,            0.014956,             0.96513,             0.94032,               0.995,             0.66717,            0.014926,           0.0080662,           0.0024582,             0.00406,             0.00406,             0.00406
                  62,            0.029952,            0.013449,           0.0097557,             0.98266,                   1,               0.995,             0.61153,            0.020386,            0.010101,          0.00024862,            0.003961,            0.003961,            0.003961
                  63,            0.033357,            0.012763,            0.011018,             0.98165,                   1,               0.995,             0.68489,            0.018058,           0.0094929,          0.00029082,            0.003862,            0.003862,            0.003862
                  64,            0.030712,            0.012938,           0.0096126,             0.98847,                   1,               0.995,             0.63286,            0.016555,            0.014332,          0.00030179,            0.003763,            0.003763,            0.003763
                  65,            0.029809,            0.012774,            0.008094,             0.98712,                   1,               0.995,             0.72673,            0.016101,           0.0091801,          0.00035114,            0.003664,            0.003664,            0.003664
                  66,            0.033466,            0.012759,            0.012232,             0.97219,             0.99132,               0.995,             0.48874,            0.022547,           0.0081692,          0.00069113,            0.003565,            0.003565,            0.003565
                  67,            0.031075,            0.012734,            0.011334,              0.9779,                   1,               0.995,             0.55751,            0.019645,           0.0078793,          0.00044346,            0.003466,            0.003466,            0.003466
                  68,            0.035876,            0.013572,           0.0082363,             0.97496,                   1,               0.995,             0.68509,            0.016816,           0.0083427,          0.00024443,            0.003367,            0.003367,            0.003367
                  69,            0.030904,            0.012714,           0.0092045,             0.98349,                   1,               0.995,             0.72688,            0.015525,           0.0071297,          0.00018067,            0.003268,            0.003268,            0.003268
                  70,            0.027974,            0.013542,           0.0095968,              0.9869,                   1,               0.995,             0.57355,            0.021641,           0.0078793,           0.0001719,            0.003169,            0.003169,            0.003169
                  71,             0.02824,            0.012207,           0.0070506,             0.98871,                   1,               0.995,             0.73597,            0.016052,           0.0066919,          0.00018926,             0.00307,             0.00307,             0.00307
                  72,            0.027528,            0.012413,           0.0053366,             0.99103,                   1,               0.995,             0.64046,            0.024102,           0.0072069,           0.0002368,            0.002971,            0.002971,            0.002971
                  73,             0.03067,            0.012208,            0.015792,             0.98997,                   1,               0.995,             0.60873,            0.020927,           0.0076618,          0.00026646,            0.002872,            0.002872,            0.002872
                  74,            0.029871,            0.011782,           0.0057657,             0.98863,                   1,               0.995,             0.62755,            0.020118,           0.0079765,          0.00026283,            0.002773,            0.002773,            0.002773
                  75,            0.027625,            0.012963,           0.0076237,             0.98666,                   1,               0.995,             0.62303,            0.019633,           0.0088997,          0.00034924,            0.002674,            0.002674,            0.002674
                  76,            0.028714,            0.011672,           0.0069468,             0.91177,             0.98391,               0.995,             0.71729,            0.016693,           0.0090427,           0.0030273,            0.002575,            0.002575,            0.002575
                  77,            0.028177,              0.0121,           0.0063629,             0.95622,             0.99401,               0.995,             0.63964,            0.018325,           0.0077381,           0.0014896,            0.002476,            0.002476,            0.002476
                  78,            0.025891,            0.011718,           0.0068936,             0.98832,                   1,               0.995,             0.59881,            0.019552,            0.010307,          0.00029421,            0.002377,            0.002377,            0.002377
                  79,            0.028398,            0.011911,            0.010709,             0.98442,                   1,               0.995,             0.44338,             0.02685,            0.014194,          0.00027084,            0.002278,            0.002278,            0.002278
                  80,            0.028118,            0.012163,            0.010245,             0.90585,             0.93068,             0.91243,             0.45899,            0.027528,            0.011164,          0.00060444,            0.002179,            0.002179,            0.002179
                  81,            0.028662,            0.011701,           0.0073275,              0.9592,             0.99323,               0.995,             0.60959,            0.020194,           0.0077391,          0.00067062,             0.00208,             0.00208,             0.00208
                  82,            0.028924,            0.012141,           0.0062946,             0.98857,                   1,               0.995,             0.68731,            0.015467,           0.0069046,          0.00025306,            0.001981,            0.001981,            0.001981
                  83,            0.028683,             0.01141,           0.0069344,             0.99187,                   1,               0.995,             0.67305,            0.015817,           0.0064669,           0.0002059,            0.001882,            0.001882,            0.001882
                  84,            0.035006,            0.013189,           0.0098812,             0.98974,                   1,               0.995,             0.62119,             0.01644,             0.00702,          0.00017519,            0.001783,            0.001783,            0.001783
                  85,            0.026546,            0.011883,           0.0082501,             0.99201,                   1,               0.995,             0.55482,            0.021861,           0.0068865,          0.00014391,            0.001684,            0.001684,            0.001684
                  86,            0.033843,            0.012102,           0.0077146,             0.99106,                   1,               0.995,             0.47395,             0.02616,           0.0073442,          0.00011106,            0.001585,            0.001585,            0.001585
                  87,            0.026936,            0.011793,           0.0066071,             0.98951,                   1,               0.995,             0.68167,            0.016022,           0.0068445,          0.00011039,            0.001486,            0.001486,            0.001486
                  88,            0.028708,            0.011671,           0.0079221,             0.99026,                   1,               0.995,              0.6074,            0.019714,           0.0068083,          0.00012264,            0.001387,            0.001387,            0.001387
                  89,            0.024634,            0.011859,           0.0082961,             0.98957,                   1,               0.995,             0.70553,            0.015524,           0.0064602,          0.00012183,            0.001288,            0.001288,            0.001288
                  90,            0.026222,            0.012035,            0.009235,             0.99146,                   1,               0.995,             0.62176,            0.019473,           0.0067759,          0.00010934,            0.001189,            0.001189,            0.001189
                  91,            0.029059,            0.010797,           0.0082309,             0.99093,                   1,               0.995,             0.66442,            0.016779,           0.0068521,          0.00010083,             0.00109,             0.00109,             0.00109
                  92,            0.030121,            0.012482,            0.007564,              0.9917,                   1,               0.995,             0.67092,            0.015907,           0.0067654,          9.7156e-05,            0.000991,            0.000991,            0.000991
                  93,            0.026189,            0.011947,           0.0066592,             0.99189,                   1,               0.995,             0.65031,            0.015681,           0.0065851,          9.9468e-05,            0.000892,            0.000892,            0.000892
                  94,            0.027378,             0.01194,           0.0077141,             0.99199,                   1,               0.995,             0.69471,            0.014912,           0.0065727,          0.00010624,            0.000793,            0.000793,            0.000793
                  95,            0.025003,            0.011328,           0.0058293,             0.99111,                   1,               0.995,             0.69436,            0.014993,           0.0066156,          0.00011141,            0.000694,            0.000694,            0.000694
                  96,            0.022755,            0.011772,           0.0049525,             0.99022,                   1,               0.995,             0.70199,            0.014671,           0.0064945,          0.00011237,            0.000595,            0.000595,            0.000595
                  97,            0.025928,            0.011409,           0.0061068,             0.99088,                   1,               0.995,             0.68881,              0.0157,            0.006423,          0.00011573,            0.000496,            0.000496,            0.000496
                  98,            0.026895,            0.011541,           0.0060937,             0.99078,                   1,               0.995,             0.71472,            0.014575,           0.0062723,          0.00010455,            0.000397,            0.000397,            0.000397
                  99,            0.025471,            0.010771,           0.0054315,             0.99077,                   1,               0.995,              0.7118,            0.014878,           0.0063295,          0.00010314,            0.000298,            0.000298,            0.000298
